Period,Year,Province,District,Bales,Lat,Long
2016-17,2017,Punjab,Multan,294482,30.181459,71.492157
2016-17,2017,Punjab,Lodhran,191923,29.5383,71.6333
2016-17,2017,Punjab,Khanewal,579738,30.286415,71.93203
2016-17,2017,Punjab,Muzaffargarh,326680,30.0703,71.1933
2016-17,2017,Punjab,Dera Ghazi Khan,336832,30.032486,70.640244
2016-17,2017,Punjab,Rajanpur,333312,29.1041,70.3297
2016-17,2017,Punjab,Layyah,269241,30.96475,70.939934
2016-17,2017,Punjab,Vehari,383570,30.045246,72.348869
2016-17,2017,Punjab,Sahiwal,211850,30.677717,73.106812
2016-17,2017,Punjab,Pakpattan,41909,30.35,73.4
2016-17,2017,Punjab,Okara,19086,30.8085,73.459396
2016-17,2017,Punjab,Kasur,0,31.118793,74.463272
2016-17,2017,Punjab,Toba Tek Singh,158529,30.9667,72.4833
2016-17,2017,Punjab,Faisalabad,41206,31.418715,73.079109
2016-17,2017,Punjab,Jhang,30102,31.278046,72.31176
2016-17,2017,Punjab,Mianwali,264342,32.5853,71.5436
2016-17,2017,Punjab,Bhakkar,61641,31.633333,71.066666
2016-17,2017,Punjab,Sargodha,9847,32.082466,72.669128
2016-17,2017,Punjab,Rahim Yar Khan,1145066,28.4202,70.2952
2016-17,2017,Punjab,Bahawalpur,984120,29.395721,71.683334
2016-17,2017,Punjab,Bahawalnagar,1256595,29.9944,73.2536
2016-17,2017,Sindh,Hyderabad,227486,25.3792,68.3683
2016-17,2017,Sindh,Mirpurkhas,270524,25.529104,69.013573
2016-17,2017,Sindh,Sanghar,1230910,26.044418,68.95388
2016-17,2017,Sindh,Shaheed Benazirabad,327157,26.244221,68.410034
2016-17,2017,Sindh,Naushehro Feroze,336411,26.8401,68.1227
2016-17,2017,Sindh,Khairpur,289517,27.529951,68.758141
2016-17,2017,Sindh,Ghotki,301574,28.0064,69.315
2016-17,2017,Sindh,Sukkur,543742,27.713926,68.836899
2016-17,2017,Sindh,Dadu,44791,26.7319,67.775
2016-17,2017,Sindh,Jamshoro,112036,25.416868,68.274307
2016-17,2017,Sindh,Badin,27027,24.65572,68.837242
2016-17,2017,Baluchistan,Khuzdar,75936,27.8,66.6167
2017-18,2018,Punjab,Multan,283712,30.181459,71.492157
2017-18,2018,Punjab,Lodhran,173023,29.5383,71.6333
2017-18,2018,Punjab,Khanewal,709743,30.286415,71.93203
2017-18,2018,Punjab,Muzaffargarh,379067,30.0703,71.1933
2017-18,2018,Punjab,Dera Ghazi Khan,437900,30.032486,70.640244
2017-18,2018,Punjab,Rajanpur,448597,29.1041,70.3297
2017-18,2018,Punjab,Layyah,294142,30.96475,70.939934
2017-18,2018,Punjab,Vehari,596782,30.045246,72.348869
2017-18,2018,Punjab,Sahiwal,275857,30.677717,73.106812
2017-18,2018,Punjab,Pakpattan,39130,30.35,73.4
2017-18,2018,Punjab,Okara,15775,30.8085,73.459396
2017-18,2018,Punjab,Kasur,0,31.118793,74.463272
2017-18,2018,Punjab,Toba Tek Singh,183125,30.9667,72.4833
2017-18,2018,Punjab,Faisalabad,40968,31.418715,73.079109
2017-18,2018,Punjab,Jhang,21328,31.278046,72.31176
2017-18,2018,Punjab,Mianwali,206265,32.5853,71.5436
2017-18,2018,Punjab,Bhakkar,85097,31.633333,71.066666
2017-18,2018,Punjab,Sargodha,7293,32.082466,72.669128
2017-18,2018,Punjab,Rahim Yar Khan,1073190,28.4202,70.2952
2017-18,2018,Punjab,Bahawalpur,1029043,29.395721,71.683334
2017-18,2018,Punjab,Bahawalnagar,1028474,29.9944,73.2536
