date,category,Exports_US$,volume,unit_price
1/1/2019,Raw Cotton,389000,230,1.69
1/1/2019,Cotton Yarn,86615000,33789,2.56340821
1/1/2019,Cotton Cloth,181369000,135975,
1/1/2019,Cotton Crd/Cmd,0,0,
1/1/2019,Non-Cotton Yarn,3013000,1241,2.43
1/1/2019,Knitwear,248785000,12261000,20.29
1/1/2019,Bedwear,193329000,30861,6.264508603
1/1/2019,Towels,68432000,15699,4.36
1/1/2019,"Tents, Tarpaulines",7433000,2569,2.89
1/1/2019,Garments,256534000,4789000,53.6
1/1/2019,Artificial Silk & Synthetics,25736000,17855,1.44
1/1/2019,Madeups,62734000,0,
1/1/2019,Other Textiles,33909000,0,
2/1/2019,Raw Cotton,835000,527,
2/1/2019,Cotton Yarn,108759000,43231,2.515764151
2/1/2019,Cotton Cloth,176642000,163513,
2/1/2019,Cotton Crd/Cmd,0,0,
2/1/2019,Non-Cotton Yarn,2170000,816,2.66
2/1/2019,Knitwear,214773000,9946000,21.59
2/1/2019,Bedwear,175424000,28758,6.100006955
2/1/2019,Towels,70246000,15952,4.4
2/1/2019,"Tents, Tarpaulines",6399000,2411,2.65
2/1/2019,Garments,225534000,4189000,53.8
2/1/2019,Artificial Silk & Synthetics,23159000,15649,1.48
2/1/2019,Madeups,56059000,0,
2/1/2019,Other Textiles,29075000,0,
3/1/2019,Raw Cotton,437000,307,
3/1/2019,Cotton Yarn,91920000,36258,2.535164653
3/1/2019,Cotton Cloth,185575000,198638,
3/1/2019,Cotton Crd/Cmd,53000,56,
3/1/2019,Non-Cotton Yarn,2611000,961,2.72
3/1/2019,Knitwear,215428000,9879000,21.81
3/1/2019,Bedwear,189407000,30740,6.161581002
3/1/2019,Towels,71405000,16174,4.41
3/1/2019,"Tents, Tarpaulines",5152000,1876,2.75
3/1/2019,Garments,214263000,4100000,52.3
3/1/2019,Artificial Silk & Synthetics,23867000,17495,1.36
3/1/2019,Madeups,56852000,0,
3/1/2019,Other Textiles,31222000,0,
4/1/2019,Raw Cotton,2834000,1701,
4/1/2019,Cotton Yarn,105615000,41492,2.545430444
4/1/2019,Cotton Cloth,178558000,210067,
4/1/2019,Cotton Crd/Cmd,0,0,
4/1/2019,Non-Cotton Yarn,3734000,1346,2.77
4/1/2019,Knitwear,241219000,11390000,21.18
4/1/2019,Bedwear,180869000,30212,5.986660929
4/1/2019,Towels,70679000,16634,4.25
4/1/2019,"Tents, Tarpaulines",4789000,1988,2.41
4/1/2019,Garments,231184000,4474000,51.7
4/1/2019,Artificial Silk & Synthetics,28619000,26933,1.06
4/1/2019,Madeups,57743000,0,
4/1/2019,Other Textiles,32510000,0,
5/1/2019,Raw Cotton,326000,207,
5/1/2019,Cotton Yarn,106750000,42065,2.537739213
5/1/2019,Cotton Cloth,167755000,198179,
5/1/2019,Cotton Crd/Cmd,0,0,
5/1/2019,Non-Cotton Yarn,4269000,1684,2.54
5/1/2019,Knitwear,273832000,12830000,21.34
5/1/2019,Bedwear,187669000,32397,5.792789456
5/1/2019,Towels,72551000,16975,4.27
5/1/2019,"Tents, Tarpaulines",4436000,1889,2.35
5/1/2019,Garments,252432000,5036000,50.1
5/1/2019,Artificial Silk & Synthetics,23832000,23227,1.03
5/1/2019,Madeups,58674000,0,
5/1/2019,Other Textiles,33233000,0,
6/1/2019,Raw Cotton,1517000,1202,
6/1/2019,Cotton Yarn,77335000,30397,2.544165543
6/1/2019,Cotton Cloth,159567000,201793,
6/1/2019,Cotton Crd/Cmd,91000,127,
6/1/2019,Non-Cotton Yarn,3274000,1299,2.52
6/1/2019,Knitwear,230214000,8536000,26.97
6/1/2019,Bedwear,173880000,36434,4.77246528
6/1/2019,Towels,54790000,12335,4.44
6/1/2019,"Tents, Tarpaulines",4917000,2100,2.34
6/1/2019,Garments,214076000,4809000,44.5
6/1/2019,Artificial Silk & Synthetics,24178000,38253,0.63
6/1/2019,Madeups,44573000,0,
6/1/2019,Other Textiles,25884000,0,
7/1/2019,Raw Cotton,4142000,2660,
7/1/2019,Cotton Yarn,97433000,39180,2.486804492
7/1/2019,Cotton Cloth,147677000,168755,
7/1/2019,Cotton Crd/Cmd,0,0,
7/1/2019,Non-Cotton Yarn,3406000,1372,2.48
7/1/2019,Knitwear,262159000,9938000,26.38
7/1/2019,Bedwear,194089000,41103,4.722015425
7/1/2019,Towels,64104000,14575,4.4
7/1/2019,"Tents, Tarpaulines",4692000,1960,2.39
7/1/2019,Garments,232327000,5260000,44.2
7/1/2019,Artificial Silk & Synthetics,24900000,32418,0.77
7/1/2019,Madeups,48244000,0,
7/1/2019,Other Textiles,29292000,0,
8/1/2019,Raw Cotton,4158000,2677,
8/1/2019,Cotton Yarn,112283000,42717,2.628531966
8/1/2019,Cotton Cloth,177050000,202890,
8/1/2019,Cotton Crd/Cmd,30000,24,
8/1/2019,Non-Cotton Yarn,1510000,1488,1.01
8/1/2019,Knitwear,278224000,10793000,25.78
8/1/2019,Bedwear,206356000,45725,4.51297977
8/1/2019,Towels,61502000,14072,4.37
8/1/2019,"Tents, Tarpaulines",5595000,2112,2.65
8/1/2019,Garments,235310000,5176000,45.5
8/1/2019,Artificial Silk & Synthetics,27124000,32882,0.82
8/1/2019,Madeups,52070000,0,
8/1/2019,Other Textiles,29043000,0,
9/1/2019,Raw Cotton,2526000,1643,
